Total tokens with passing features: 3145
Total passing features: 5349

Token                | #Features | Feature IDs
return               |        26 | 2840, 4396, 5132, 9439, 12080, 12720, 18973, 21464, 21647, 27303, 30115, 32272, 32843, 33075, 37587, 43099, 44707, 45340, 49201, 49895, 57622, 58418, 61967, 62384, 63430, 65378
this                 |        24 | 582, 4383, 6352, 13923, 15221, 19161, 19523, 20085, 20744, 21903, 25356, 30367, 32189, 32900, 33157, 37509, 40074, 43765, 44112, 50896, 55827, 56907, 59677, 62722
as                   |        23 | 1676, 5756, 6166, 10565, 10872, 15550, 17394, 18515, 21205, 23359, 26943, 27216, 29968, 30343, 30515, 40064, 43230, 48137, 49659, 53891, 58338, 63331, 63729
on                   |        23 | 3363, 3463, 5371, 6552, 6919, 8731, 17961, 20961, 21402, 22347, 22504, 22722, 28245, 38333, 45772, 46276, 49437, 50904, 60614, 61974, 64020, 64468, 64585
from                 |        21 | 72, 3499, 7579, 7652, 7838, 20308, 21267, 22934, 26941, 29660, 31769, 34256, 35936, 36525, 37403, 38289, 42237, 55263, 55552, 58281, 59407
i                    |        19 | 5520, 7070, 7216, 12581, 16599, 20534, 23528, 28431, 31183, 39512, 41744, 42393, 43555, 48594, 50989, 59435, 61591, 61817, 63350
by                   |        19 | 8527, 9464, 10083, 10693, 16958, 22680, 23539, 25243, 27706, 28365, 29894, 31570, 43511, 44108, 49752, 56582, 57638, 61865, 64713
is                   |        18 | 2, 872, 3840, 11473, 12237, 17249, 24251, 28871, 33207, 36052, 36612, 38203, 43137, 44380, 51874, 56427, 58357, 63693
new                  |        18 | 2131, 2307, 8568, 12928, 12978, 17146, 17216, 23609, 24021, 25148, 26574, 29571, 33235, 37190, 41583, 47141, 51389, 52143
it                   |        18 | 3394, 5262, 9507, 10168, 11453, 13259, 16862, 20299, 29034, 29827, 39956, 42746, 44348, 53144, 56512, 60882, 62089, 63859
or                   |        18 | 3817, 12800, 18475, 18767, 21318, 24317, 25097, 26061, 28587, 31248, 37835, 38067, 39179, 42012, 58082, 60582, 61455, 62818
more                 |        16 | 9024, 9797, 10578, 13510, 19770, 20282, 20776, 23647, 24074, 24724, 27244, 35662, 50142, 52609, 55286, 60243
but                  |        15 | 6495, 9473, 11880, 14547, 14550, 16034, 20579, 20880, 24624, 33786, 36075, 45370, 45685, 56876, 61670
all                  |        14 | 3273, 10060, 27348, 28696, 30144, 36885, 37756, 45729, 46238, 49629, 56340, 58332, 59758, 60947
public               |        14 | 5611, 8061, 11555, 16452, 17726, 37037, 47688, 50553, 52090, 55876, 57183, 60264, 60602, 65107
so                   |        13 | 22, 2144, 4797, 14247, 20060, 24577, 30071, 32334, 32574, 35867, 50535, 52696, 62663
also                 |        13 | 1142, 9860, 13904, 14961, 18880, 21705, 25898, 29073, 31612, 38727, 54214, 54303, 57658
not                  |        13 | 3770, 3797, 11345, 15318, 16270, 17852, 33958, 40397, 40950, 45868, 60880, 63538, 64114
class                |        12 | 120, 360, 17830, 23551, 23946, 28190, 30030, 46013, 48922, 54619, 58910, 64859
time                 |        12 | 1486, 10066, 13484, 22329, 26383, 28017, 42500, 43979, 51387, 56038, 57491, 60237
t                    |        12 | 2825, 2920, 6778, 16999, 25040, 47154, 48754, 50993, 54010, 55978, 59837, 65204
get                  |        12 | 5765, 13736, 30904, 36545, 42203, 44477, 45468, 46366, 47107, 48331, 52125, 64857
you                  |        12 | 6018, 19630, 27066, 27267, 41334, 41653, 42075, 44504, 52558, 52780, 55648, 65524
like                 |        11 | 1860, 11015, 12219, 19550, 29548, 36627, 43296, 45011, 45087, 45516, 49888
at                   |        11 | 7414, 22232, 33714, 37155, 39003, 39047, 40482, 40688, 48270, 49233, 57974
up                   |        11 | 13597, 15829, 26485, 31657, 32759, 39110, 47304, 55997, 59604, 63498, 64886
